id,house_ln,house_la,subway,bus_stop,park,scenery,street,room_type,accommodates,bathroom,bedroom,beds,bed_type,guests,num_of_review,review_score,Entire_home,Private_room,Shared_room,crime_rate,host_response_time,response_time_num,host_response_rate,superhost,host_neighborhood,daily_price,weekly_price,monthly_price,Central_Park,Van_Cortlandt,Flushing_Meadows,Prospect_Park,Washington_Square_Park,Bronx_Park,Pelham_Bay_Park,Floyd_Bennet_Field,Jamaica_Bay,Jacob_Riis_Park,Fort_Tilden,Greenbelt,The_Metropolitan_Museum_of_Art,statue_of_liberty,Empire_state_Building,American_Museum_of_Natual_History,Museum_of_Modern_Art,Times_Square,One_world_trade_cente,Grand_Centreal_Terminal,intrepid_sea_air,Fifth_Avenue,Brooklyn_Bridge,Wall_Street,Flatiron_Building,New_York_University,Broadway,China_Town,New_york_Public_Library,West_Point_Academy,Columbia_University,Madison_Square_Garden,madame_tussauds_new_york,National_September_11_Memorial_Museum,Manhattan_Skyline,United_Nations_Headquarters,SOHO,St_Patrick_Cathedral,High_Line_Park,Top_of_the_Rock,sub_dist_1,sub_dist_2,sub_dist_3,bus_dist_1,bus_dist_2,bus_dist_3,subway_station,new_price
1089240,-73.99702,40.74197,9,7,1,22,New York,Private room,2,1,1,1,Real Bed,1,116,98,0,1,0,1.73,within a few hours,2,0.9,1,Chelsea,176,,,5.371,19.701,13.165,8.805,1.24,15.747,21.562,18.165,19.426,22.308,21.944,12.824,5.029,7.101,1.238,4.806,2.714,2.132,3.503,2.056,2.558,4.417,3.947,4.121,0.622,1.391,5.754,2.986,1.758,71.004,7.847,0.974,1.735,3.638,2.848,2.675,4.624,2.486,243.756,2.407,0.126,0.261,0.368,0.024,0.253,0.28,6,149
1089542,-73.94883,40.6536,2,15,1,0,Brooklyn,Private room,2,1,1,1,Real Bed,1,248,93,0,1,0,0.8373,within an hour,3,1,0,Flatbush,47,,,14.713,27.68,13.216,2.208,9.511,22.725,27.133,7.651,9.283,12.056,11.315,10.804,14.032,8.994,11.028,14.358,12.24,12.102,8.548,11.279,13.118,13.466,7.157,7.717,10.324,9.37,15.42,7.945,11.425,80.777,17.156,11.278,11.919,8.378,12.448,10.979,14.341,11.91,253.499,12.021,0.313,0.359,0.945,0.167,0.171,0.28,2,47
1089619,-73.94334,40.83535,2,19,0,1,New York,Private room,2,1,3,1,Real Bed,2,22,98,0,1,0,0.9876,within a few hours,2,1,0,Washington Heights,40,350,1300,5.97,8.469,13.698,19.013,12.48,5.832,12.102,26.725,27.195,29.994,30.782,24.091,6.455,18.346,10.254,6.519,8.707,9.2,14.827,9.618,9.216,7.084,15.032,15.404,11.183,12.618,5.605,14.105,9.709,60.58,3.49,10.354,9.589,14.96,8.535,9.57,6.707,9.005,233.285,9.007,0.195,0.299,0.559,0.027,0.065,0.163,2,49
1090732,-73.82316,40.7017,2,1,0,0,Jamaica,Shared room,1,0,1,1,Real Bed,1,0,0,0,0,1,0.4022,N/A,0,0,0,Richmond Hill,60,200,1223,15.345,22.451,4.48,12.998,15.032,17.166,19.113,13.094,12.144,14.283,16.689,22.3,14.627,18.717,14.643,15.458,14.618,15.057,16.07,14.164,16.531,14.473,14.683,15.658,14.705,14.991,16.166,14.707,14.579,76.315,16.625,15.165,15.243,15.998,14.758,13.374,15.676,14.436,248.243,14.651,0.453,0.54,0.86,0.207,0.515,0.589,1,60
1091582,-73.98805,40.66326,1,3,1,1,Brooklyn,Private room,4,1,2,2,Pull-out Sofa,1,44,89,0,1,0,0.7843,within an hour,3,1,0,Park Slope,89,899,,13.649,27.474,15.046,1.564,7.553,22.834,27.819,10.654,12.541,15.204,13.914,7.754,13.071,5.573,9.516,13.189,10.957,10.637,5.92,9.991,11.342,12.453,4.867,5.066,8.658,7.401,14.236,5.813,10.009,79.726,16.186,9.617,10.353,5.74,11.154,9.937,13.097,10.633,252.485,10.686,0.472,0.734,0.79,0.243,0.27,0.328,1,89
1091840,-73.94715,40.78859,1,22,1,14,New York,Private room,2,1,1,2,Real Bed,1,152,90,0,1,0,1.0669,within a few hours,2,0.96,0,East Harlem,60,580,1250,1.821,13.204,10.478,13.815,7.689,9.076,14.992,21.66,22.272,25.115,25.699,19.457,1.71,13.761,5.473,2.362,3.961,4.597,10.085,4.721,5.235,2.27,10.058,10.551,6.382,7.811,2.334,9.175,4.926,65.771,2.475,5.719,5.029,10.195,3.846,4.496,2.677,4.192,238.488,4.266,0.225,0.463,0.756,0.115,0.134,0.16,2,75
1092760,-73.95321,40.69034,1,9,1,2,Brooklyn,Entire home/apt,2,1,1,2,Real Bed,2,192,96,1,0,0,1.7837,within an hour,3,1,1,Bedford-Stuyvesant,110,900,3800,10.612,23.768,10.951,3.091,5.839,18.94,23.709,11.377,12.604,15.483,15.242,11.608,9.93,7.703,7.046,10.265,8.175,8.084,5.65,7.225,9.2,9.365,4.122,5.002,6.43,5.716,11.326,4.589,7.403,76.688,13.056,7.351,7.938,5.522,8.384,6.887,10.256,7.847,249.419,7.969,0.084,0.587,0.601,0.135,0.135,0.144,1,100
1093977,-73.94562,40.81102,2,18,1,6,New York,Entire home/apt,2,1,1,1,Real Bed,1,23,99,1,0,0,1.466,N/A,0,0,0,Harlem,85,700,2800,3.457,10.89,11.866,16.304,9.924,7.259,13.454,24.086,24.626,27.448,28.136,21.635,3.828,15.9,7.686,4.049,6.133,6.683,12.301,7.005,6.928,4.46,12.411,12.833,8.615,10.056,3.318,11.5,7.135,63.28,1.478,7.84,7.093,12.425,5.977,6.898,4.289,6.413,235.993,6.44,0.363,0.542,0.566,0.144,0.227,0.248,1,85
1095106,-73.95596,40.73026,1,1,1,16,Brooklyn,Private room,1,1,1,1,Futon,1,53,94,0,1,0,0.9601,within a day,1,1,0,Greenpoint,70,445,1600,6.185,19.553,9.761,7.29,3.486,14.941,20.172,15.584,16.535,19.426,19.542,13.995,5.49,8.75,3.228,5.872,3.924,4.022,5.195,3.072,5.387,4.936,4.37,5.208,3.09,3.477,6.924,3.827,3.377,72.247,8.611,3.7,4.024,5.206,4.128,2.541,5.894,3.617,244.983,3.781,0.176,0.74,1.39,0.15,0.816,0.841,1,72
1096326,-74.08151,40.64699,0,3,1,0,Staten Island,Entire home/apt,4,1,1,3,Real Bed,1,0,0,1,0,0,0.5752,N/A,0,0,0,,190,,,18.08,32.401,22.764,9.651,11.716,28.449,34.085,16.59,18.906,21.08,18.577,0.593,17.768,5.639,13.922,17.495,15.45,14.861,9.326,14.684,14.761,17.153,9.709,8.98,13.016,11.602,18.358,10.416,14.469,82.119,20.473,13.708,14.445,9.23,15.587,15.049,17.278,15.204,254.602,15.142,5.084,5.1,5.233,0.057,0.265,0.318,0,190
