id,house_ln,house_la,subway,bus_stop,park,scenery,borough,room_type,accommodates,bathroom,bedroom,beds,bed_type,guests,num_of_review,review_score,Entire_home,Private_room,Shared_room,crime_rate,host_response_time,response_time_num,host_response_rate,superhost,host_neighborhood,daily_price,weekly_price,monthly_price,Central_Park,Van_Cortlandt,Flushing_Meadows,Prospect_Park,Washington_Square_Park,Bronx_Park,Pelham_Bay_Park,Floyd_Bennet_Field,Jamaica_Bay,Jacob_Riis_Park,Fort_Tilden,Greenbelt,The_Metropolitan_Museum_of_Art,statue_of_liberty,Empire_state_Building,American_Museum_of_Natual_History,Museum_of_Modern_Art,Times_Square,One_world_trade_cente,Grand_Centreal_Terminal,intrepid_sea_air,Fifth_Avenue,Brooklyn_Bridge,Wall_Street,Flatiron_Building,New_York_University,Broadway,China_Town,New_york_Public_Library,West_Point_Academy,Columbia_University,Madison_Square_Garden,madame_tussauds_new_york,National_September_11_Memorial_Museum,Manhattan_Skyline,United_Nations_Headquarters,SOHO,St_Patrick_Cathedral,High_Line_Park,Top_of_the_Rock,sub_dist_1,sub_dist_2,sub_dist_3,bus_dist_1,bus_dist_2,bus_dist_3,Brooklyn,Manhattan,Queens,Staten,Bronx,ave_price,Price_avg,True_price,Predict_price,errors
22214383,-73.98439,40.74238,3,19,1,23,Manhattan,Entire home/apt,2,1,1,1,Real Bed,1,1,100,1,0,0,1.73,within an hour,3,1,0,Flatiron District,91,,,4.939,19.178,12.102,8.633,1.685,15.05,20.76,17.732,18.884,21.775,21.581,13.446,4.473,7.786,0.721,4.43,2.199,1.838,4.075,1.302,2.851,3.842,4.137,4.539,0.471,1.798,5.455,3.205,1.212,70.923,7.474,1.016,1.603,4.179,2.382,1.717,4.31,1.895,243.682,1.907,0.077,0.336,0.434,0.055,0.176,0.253,0,1,0,0,0,62.77,inf,91,191.12395,100.12394714355469
16015053,-73.96381,40.71304,0,3,1,12,Brooklyn,Entire home/apt,6,1,3,4,Real Bed,4,116,89,1,0,0,0.9672,within an hour,3,1,0,Williamsburg,149,,,8.021,21.578,10.783,5.306,3.448,16.952,22.098,14.044,15.199,18.087,17.919,12.232,7.369,7.303,4.375,7.641,5.512,5.406,4.165,4.555,6.545,6.781,2.91,3.874,3.809,3.355,8.705,2.785,4.725,74.16,10.508,4.702,5.266,4.109,5.72,4.266,7.614,5.182,246.908,5.298,0.729,0.753,1.045,0.329,0.482,0.496,1,0,0,0,0,45.97,inf,149,318.91797,169.91796875
21780501,-73.9991,40.74328,5,9,1,22,Manhattan,Entire home/apt,6,2,3,3,Real Bed,2,0,0,1,0,0,1.8733,,0,0,0,Chelsea,226,,,5.324,19.657,13.344,8.992,1.393,15.749,21.593,18.376,19.645,22.526,22.148,12.859,5.012,7.126,1.306,4.75,2.713,2.098,3.575,2.125,2.397,4.409,4.096,4.225,0.826,1.545,5.678,3.138,1.793,70.866,7.779,0.954,1.683,3.718,2.833,2.787,4.557,2.506,243.615,2.409,0.27,0.303,0.305,0.204,0.253,0.257,0,1,0,0,0,62.77,inf,226,528.2386,302.23858642578125
21406504,-73.94873,40.78996,1,16,1,14,Manhattan,Entire home/apt,6,1,2,3,Real Bed,1,3,90,1,0,0,1.0669,,0,0,0,East Harlem,127,,,1.733,13.116,10.671,13.948,7.746,9.049,15.001,21.836,22.458,25.302,25.873,19.51,1.707,13.805,5.521,2.297,3.995,4.618,10.14,4.783,5.201,2.295,10.143,10.62,6.436,7.87,2.19,9.252,4.972,65.617,2.275,5.751,5.048,10.253,3.871,4.589,2.608,4.238,238.337,4.303,0.127,0.516,0.677,0.153,0.228,0.246,0,1,0,0,0,62.77,inf,127,227.87427,100.874267578125
29614580,-73.86511,40.87831,2,5,2,0,Bronx,Entire home/apt,16,3.5,5,10,Real Bed,8,1,100,1,0,0,0.9385,within an hour,3,1,1,Williamsbridge,350,,,13.52,2.798,15.546,25.247,19.819,3.24,4.797,31.31,31.203,33.756,35.338,31.588,13.765,25.889,17.603,14.122,16.077,16.683,22.215,16.85,17.02,14.374,22.109,22.66,18.513,19.94,13.399,21.261,17.055,56.37,11.364,17.827,17.107,22.323,15.946,16.556,14.375,16.32,228.528,16.384,0.109,0.655,0.792,0.101,0.105,0.141,0,0,0,0,1,35.72,inf,350,528.2285,178.228515625
35030589,-73.98805,40.76392,3,9,2,19,Manhattan,Entire home/apt,5,1,2,3,Real Bed,2,5,100,1,0,0,4.3095,within an hour,3,0.85,0,Hell's Kitchen,155,,,2.883,17.2,12.694,11.048,3.762,13.425,19.395,20.047,21.109,24.002,23.934,15.314,2.694,9.572,1.694,2.293,0.916,0.61,6.05,1.545,1.078,2.169,6.434,6.674,2.54,3.909,3.202,5.475,1.291,68.538,5.303,1.609,0.845,6.19,0.824,2.213,2.083,1.094,241.295,0.885,0.238,0.43,0.553,0.119,0.267,0.299,0,1,0,0,0,62.77,inf,155,275.10995,120.10995483398438
32297005,-73.98994,40.76299,2,8,2,19,Manhattan,Entire home/apt,6,1,2,3,Real Bed,2,27,94,1,0,0,4.3095,within an hour,3,1,1,Hell's Kitchen,170,,,3.06,17.37,12.828,10.969,3.63,13.611,19.584,20.015,21.096,23.989,23.891,15.146,2.883,9.403,1.621,2.466,1.047,0.609,5.899,1.568,0.937,2.358,6.314,6.533,2.433,3.779,3.356,5.354,1.269,68.646,5.463,1.484,0.741,6.041,0.981,2.277,2.248,1.183,241.403,0.967,0.338,0.532,0.597,0.071,0.22,0.248,0,1,0,0,0,62.77,inf,170,271.60632,101.6063232421875
33812239,-73.98151,40.72919,1,22,1,19,Manhattan,Entire home/apt,8,1.5,3,4,Real Bed,1,5,100,1,0,0,1.1773,within an hour,3,0.98,0,East Village,290,,,6.315,20.414,11.915,7.147,1.345,16.114,21.65,16.304,17.517,20.403,20.127,12.431,5.78,6.926,2.207,5.84,3.606,3.317,3.225,2.643,4.28,5.151,2.852,3.456,1.495,1.324,6.884,2.024,2.667,72.383,8.857,2.435,3.087,3.276,3.802,2.717,5.746,3.283,245.143,3.335,0.196,0.563,0.811,0.058,0.181,0.235,0,1,0,0,0,62.77,inf,290,427.67007,137.67007446289062
17812444,-74.00666,40.73581,1,5,1,19,Manhattan,Entire home/apt,6,2,3,4,Real Bed,1,20,100,1,0,0,2.282,within a day,1,1,0,West Village,185,,,6.362,20.692,13.982,8.411,0.962,16.794,22.623,17.972,19.348,22.214,21.667,11.821,6.059,6.083,2.3,5.783,3.757,3.143,2.6,3.116,3.261,5.455,3.357,3.319,1.544,1.064,6.689,2.448,2.818,71.726,8.798,1.999,2.724,2.756,3.88,3.702,5.579,3.542,244.464,3.452,0.413,0.559,0.589,0.075,0.277,0.328,0,1,0,0,0,62.77,inf,185,554.4023,369.40228271484375
21923996,-73.97771,40.65028,1,6,1,0,Brooklyn,Entire home/apt,6,2,3,3,Real Bed,4,32,94,1,0,0,0.7843,within an hour,3,1,0,Windsor Terrace,165,,,15.011,28.601,15.237,1.824,9.108,23.835,28.597,9.043,11.013,13.617,12.233,8.344,14.399,7.111,10.976,14.58,12.365,12.094,7.586,11.392,12.882,13.792,6.462,6.729,10.151,8.956,15.637,7.386,11.447,81.15,17.533,11.118,11.834,7.406,12.567,11.263,14.509,12.037,253.908,12.107,0.172,0.713,1.131,0.306,0.377,0.387,1,0,0,0,0,45.97,inf,165,265.43216,100.43215942382812
