id,house_ln,house_la,subway,bus_stop,park,scenery,borough,room_type,accommodates,bathroom,bedroom,beds,bed_type,guests,num_of_review,review_score,Entire_home,Private_room,Shared_room,crime_rate,host_response_time,response_time_num,host_response_rate,superhost,host_neighborhood,daily_price,weekly_price,monthly_price,Central_Park,Van_Cortlandt,Flushing_Meadows,Prospect_Park,Washington_Square_Park,Bronx_Park,Pelham_Bay_Park,Floyd_Bennet_Field,Jamaica_Bay,Jacob_Riis_Park,Fort_Tilden,Greenbelt,The_Metropolitan_Museum_of_Art,statue_of_liberty,Empire_state_Building,American_Museum_of_Natual_History,Museum_of_Modern_Art,Times_Square,One_world_trade_cente,Grand_Centreal_Terminal,intrepid_sea_air,Fifth_Avenue,Brooklyn_Bridge,Wall_Street,Flatiron_Building,New_York_University,Broadway,China_Town,New_york_Public_Library,West_Point_Academy,Columbia_University,Madison_Square_Garden,madame_tussauds_new_york,National_September_11_Memorial_Museum,Manhattan_Skyline,United_Nations_Headquarters,SOHO,St_Patrick_Cathedral,High_Line_Park,Top_of_the_Rock,sub_dist_1,sub_dist_2,sub_dist_3,bus_dist_1,bus_dist_2,bus_dist_3,Brooklyn,Manhattan,Queens,Staten,Bronx,ave_price,availability,accommodates_s,scenery_s,bedroom_s,beds_s,accom_bedroom,bedroom_for_each,beds_for_each,park_scenery,prediction,error
2835738,-73.98241999999999,40.77397,1,20,1,19,Manhattan,Entire home/apt,3,1.0,1,2,Real Bed,2,149,97,1,0,0,0.7795,within an hour,3,0.97,0,Upper West Side,299,1400.0,4700.0,1.716,15.995999999999999,12.523,12.105,4.959,12.300999999999998,18.333,20.912,21.879,24.769000000000002,24.84,16.521,1.713,10.777999999999999,2.8080000000000003,1.112,1.445,1.692,7.263,2.403,1.854,1.382,7.608,7.877999999999999,3.705,5.104,1.99,6.654,2.313,67.407,4.0889999999999995,2.807,2.036,7.402,1.236,2.8080000000000003,0.873,1.7719999999999998,240.166,1.6640000000000001,0.062,0.5,0.537,0.027999999999999997,0.039,0.106,0,1,0,0,0,99.66666667,1,9,361,1,4,3,3.0,1.5,19,184.73177,114.26823425292969
2856770,-73.94764,40.78587,1,16,1,15,Manhattan,Entire home/apt,8,2.0,3,5,Real Bed,6,64,92,1,0,0,1.0669,within an hour,3,0.91,0,Upper East Side,650,4500.0,,1.74,13.498,10.36,13.51,7.415,9.335,15.215,21.372,21.997,24.843000000000004,25.409000000000002,19.184,1.51,13.495,5.206,2.237,3.707,4.355,9.811,4.446000000000001,5.052,2.033,9.767000000000001,10.267999999999999,6.11,7.535,2.346,8.888,4.662,66.07300000000001,2.717,5.466,4.788,9.919,3.6010000000000004,4.202,2.5540000000000003,3.929,238.791,4.011,0.29,0.526,0.975,0.1,0.11599999999999999,0.153,0,1,0,0,0,81.25,1,64,225,9,25,24,2.6666666666666665,1.6,15,409.26544,240.73455810546875
2874932,-73.96732,40.6907,1,8,1,6,Brooklyn,Private room,2,1.0,1,1,Real Bed,2,71,99,0,1,0,1.8669,within a few hours,2,0.81,0,Clinton Hill,199,,,10.495999999999999,24.04,11.977,2.806,5.129,19.338,24.308000000000003,11.965,13.357000000000001,16.212,15.718,10.577,9.859,6.513999999999999,6.64,10.095,7.919,7.73,4.593999999999999,6.947,8.709,9.263,3.072,3.891,5.915,4.992,11.157,3.677,7.059,76.646,12.998,6.872999999999999,7.527,4.453,8.126,6.737,10.049,7.587999999999999,249.39700000000002,7.682,0.293,0.644,0.7559999999999999,0.2,0.215,0.318,1,0,0,0,0,99.5,1,4,36,1,1,2,2.0,2.0,6,96.74071,102.25929260253906
3005261,-73.93573,40.85719,1,12,0,0,Manhattan,Private room,2,1.0,1,1,Real Bed,1,34,98,0,1,0,1.1587,within a day,1,1.0,0,Washington Heights,185,,,8.472000000000001,6.167999999999999,15.314,21.503,14.978,4.994,10.850999999999999,29.048000000000002,29.427,32.196,33.111999999999995,26.544,8.966000000000001,20.802,12.755999999999998,9.012,11.212,11.694,17.314,12.128,11.642000000000001,9.595,17.541,17.902,13.684000000000001,15.117,8.068999999999999,16.612000000000002,12.212,58.173,5.965,12.844000000000001,12.077,17.45,11.038,12.08,9.187999999999999,11.512,230.851,11.511,0.242,0.575,0.639,0.034,0.036000000000000004,0.198,0,1,0,0,0,92.5,1,4,0,1,1,2,2.0,2.0,0,78.47365,106.52635192871094
3039332,-73.97723,40.64638,1,7,1,0,Brooklyn,Entire home/apt,6,1.5,3,5,Real Bed,1,2,100,1,0,0,0.3867,,0,0.0,0,Kensington,499,1113.0,3900.0,15.442,29.008000000000003,15.494000000000002,2.221,9.541,24.226999999999997,28.954,8.737,10.754000000000001,13.323,11.86,8.356,14.828,7.414,11.411,15.012,12.799000000000001,12.529000000000002,8.002,11.825999999999999,13.317,14.222000000000001,6.892,7.145,10.585999999999999,9.39,16.07,7.819,11.882,81.583,17.962,11.552999999999999,12.27,7.821000000000001,13.001,11.693,14.942,12.470999999999998,254.34099999999998,12.540999999999999,0.332,0.505,1.1059999999999999,0.171,0.247,0.25,1,0,0,0,0,83.16666667,0,36,0,9,25,18,2.0,1.2,0,197.16338,301.8366241455078
3067670,-73.9974,40.74221,9,7,1,22,Manhattan,Entire home/apt,4,2.0,3,3,Real Bed,1,5,96,1,0,0,1.8733,within a few hours,2,1.0,0,Chelsea,220,,,5.362,19.692,13.198,8.839,1.266,15.747,21.566999999999997,18.204,19.465999999999998,22.348000000000003,21.980999999999998,12.83,5.025,7.105,1.248,4.795,2.7119999999999997,2.124,3.515,2.0669999999999997,2.528,4.414,3.9739999999999998,4.138999999999999,0.6579999999999999,1.4180000000000001,5.74,3.013,1.7630000000000001,70.979,7.834,0.966,1.723,3.6519999999999997,2.844,2.694,4.611000000000001,2.488,243.73,2.405,0.136,0.255,0.39,0.018000000000000002,0.254,0.266,0,1,0,0,0,55.0,0,16,484,9,9,12,1.3333333333333333,1.3333333333333333,22,320.83386,100.8338623046875
3112953,-73.97995999999999,40.72488,0,17,1,19,Manhattan,Private room,2,1.5,1,1,Real Bed,1,8,100,0,1,0,1.1773,within an hour,3,1.0,1,Alphabet City,240,5800.0,,6.767,20.805999999999997,11.843,6.655,1.6059999999999999,16.448,21.921,15.817,17.046,19.93,19.634,12.155,6.212000000000001,6.734,2.701,6.303999999999999,4.075,3.807,3.1010000000000004,3.1060000000000003,4.773,5.587000000000001,2.511,3.213,1.984,1.541,7.353,1.7830000000000001,3.1510000000000002,72.859,9.307,2.93,3.583,3.125,4.274,3.112,6.218,3.7489999999999997,245.61900000000003,3.8110000000000004,0.69,0.857,0.9640000000000001,0.11699999999999999,0.133,0.18,0,1,0,0,0,120.0,1,4,361,1,1,2,2.0,2.0,19,111.6042,128.3957977294922
3120957,-73.94227,40.80699,2,13,1,6,Manhattan,Shared room,2,1.5,1,1,Pull-out Sofa,1,8,100,0,0,1,1.6748,within an hour,3,1.0,0,Harlem,200,,,3.275,11.167,11.357999999999999,15.899000000000001,9.655,7.3260000000000005,13.453,23.596999999999998,24.119,26.936999999999998,27.649,21.398000000000003,3.552,15.673,7.419,3.8789999999999996,5.872000000000001,6.4510000000000005,12.043,6.711,6.803999999999999,4.177,12.097999999999999,12.550999999999998,8.344,9.783999999999999,3.266,11.198,6.867999999999999,63.735,1.71,7.604,6.871,12.162,5.727,6.555,4.143,6.138,236.438,6.18,0.284,0.505,0.815,0.045,0.091,0.09699999999999999,0,1,0,0,0,100.0,1,4,36,1,1,2,2.0,2.0,6,79.10363,120.89636993408203
3162817,-73.94058000000001,40.715720000000005,1,13,0,3,Brooklyn,Entire home/apt,4,1.0,2,2,Real Bed,1,2,100,1,0,0,0.9601,,0,0.0,0,Williamsburg,350,,4100.0,8.059,20.776,8.823,6.098,5.069,15.924000000000001,20.748,13.652000000000001,14.512,17.4,17.651,13.974,7.3260000000000005,9.246,5.275,7.809,5.971,6.093999999999999,6.131,5.142,7.4510000000000005,6.825,4.8839999999999995,5.853,5.012,5.011,8.839,4.734,5.4479999999999995,73.884,10.376,5.724,6.091,6.082000000000001,6.172000000000001,4.57,7.8629999999999995,5.672000000000001,246.585,5.843999999999999,0.32,0.42200000000000004,0.838,0.046,0.252,0.257,1,0,0,0,0,87.5,0,16,9,4,4,8,2.0,2.0,0,168.94379,181.05621337890625
3186103,-73.97706,40.67507,2,2,1,3,Brooklyn,Entire home/apt,6,2.0,3,4,Real Bed,2,12,100,1,0,0,0.9893,within an hour,3,1.0,0,Park Slope,450,1800.0,,12.255999999999998,25.941,13.550999999999998,1.227,6.431,21.259,26.213,10.992,12.652000000000001,15.427,14.527999999999999,9.07,11.649000000000001,5.906000000000001,8.231,11.823,9.609,9.346,5.2010000000000005,8.635,10.176,11.04,3.884,4.36,7.421,6.282,12.88,4.752,8.695,78.393,14.78,8.389,9.095,5.0280000000000005,9.811,8.512,11.752,9.28,251.15099999999998,9.352,0.45299999999999996,0.508,0.568,0.33299999999999996,0.445,0.531,1,0,0,0,0,75.0,0,36,9,9,16,18,2.0,1.5,3,320.27765,129.72235107421875
