id,daily,weekly,monthly
355106,92,594,"1,494.00"
356230,185,,"5,000.00"
357509,130,"1,050.00","3,100.00"
359982,65,500,
360400,135,900,"3,750.00"
361803,115,,"3,014.00"
363320,165,,
363673,"3,000.00",,
364785,80,575,"1,750.00"
367042,125,800,"1,700.00"
367810,120,850,"1,800.00"
369411,94,675,"2,000.00"
369567,56,,
371138,190,,
373618,129,,
374548,85,565,"1,800.00"
375249,20,,
377217,145,"1,000.00","4,000.00"
378460,200,,
380416,125,,
380730,50,350,"1,350.00"
382523,160,"1,010.00",
382524,180,"1,275.00",
385190,100,700,"2,500.00"
385657,70,,
385824,120,,
386555,110,,
386744,105,875,"2,400.00"
386799,250,"1,600.00","6,000.00"
387324,74,510,"1,900.00"
387377,165,,
387666,99,,
387735,125,,
389482,75,,
391948,45,300,
391955,159,800,
392948,45,,
393016,104,785,"2,772.00"
393094,225,,"7,500.00"
393682,100,800,"2,250.00"
394026,90,,
394111,75,,
394235,350,"1,600.00","6,000.00"
396636,135,910,"3,750.00"
397034,125,,"2,500.00"
397297,225,,
397420,85,,
398281,200,,
398283,250,"1,950.00",
399946,90,,
400039,130,900,"3,200.00"
401579,298,,
401836,300,"1,225.00",
402037,125,,
403056,125,,"2,150.00"
403264,145,"1,000.00","4,000.00"
403668,147,"1,400.00","3,200.00"
404502,123,,"3,000.00"
404923,88,545,
405025,215,"1,175.00","4,700.00"
405408,225,,
406926,269,"1,700.00","5,500.00"
406992,145,,
407469,75,514,"1,425.00"
408491,145,"1,000.00","3,500.00"
408983,229,"1,680.00",
409262,300,"2,800.00","7,500.00"
409293,100,,"2,150.00"
409666,75,,
411336,225,,
411525,120,850,"2,990.00"
411918,160,"1,000.00","3,000.00"
412061,125,"1,050.00","3,000.00"
412180,95,"1,100.00","4,200.00"
413504,119,,
413775,275,,
414801,500,,"12,500.00"
415304,175,,
416557,87,560,"2,200.00"
417685,160,"1,100.00","4,000.00"
418291,125,,
419373,90,,"2,000.00"
419792,200,,"4,500.00"
422040,99,,"3,069.00"
424192,325,,"5,800.00"
424667,99,,
424767,325,,
424889,129,"1,000.00","2,750.00"
424930,130,950,"3,700.00"
425784,190,900,
428226,55,300,"1,000.00"
430427,60,250,850
430665,250,"1,700.00","5,000.00"
431865,275,"3,150.00","10,000.00"
432090,50,,"2,300.00"
433218,125,750,"2,500.00"
433414,150,"1,000.00","3,200.00"
433914,70,550,"1,900.00"
434792,138,"1,000.00","3,400.00"
435776,145,,
435909,151,"1,150.00","4,490.00"
435946,208,"1,330.00","5,050.00"
436510,200,"1,800.00","3,000.00"
436619,110,,
436824,58,350,950
436916,55,350,900
437352,105,550,"2,195.00"
437906,350,"3,000.00","11,000.00"
438513,150,925,
439750,55,400,"1,500.00"
439870,333,"2,300.00","9,000.00"
442636,77,,
442649,130,800,"3,000.00"
443646,395,,"12,000.00"
444171,189,"1,250.00","3,800.00"
444430,49,300,"1,029.00"
447766,100,685,
447840,299,,
448048,69,,
448049,69,,
449034,90,600,"1,550.00"
449130,94,455,820
449660,80,300,"1,200.00"
449680,100,790,"2,250.00"
450009,39,245,788
450577,250,"1,500.00",
450578,55,400,"1,600.00"
450905,110,770,"1,800.00"
452068,200,,"4,000.00"
452541,142,850,"2,940.00"
453094,70,,
453161,260,"1,500.00",
453255,225,"1,500.00",
454334,65,450,"1,300.00"
454763,99,,"2,500.00"
454929,259,,
455734,50,600,
455801,65,,
456110,139,750,
456190,174,"1,274.00","4,700.00"
456457,315,,
456526,75,500,
457829,210,,
458154,55,,"1,500.00"
458377,229,"1,100.00","2,500.00"
459066,150,"1,050.00","2,350.00"
460036,129,,
460999,100,800,"2,400.00"
462454,89,700,"1,900.00"
463107,250,,"3,000.00"
465277,68,450,
466277,235,"1,285.00","4,400.00"
466457,100,,
467569,311,"2,400.00","3,600.00"
467634,39,295,
467866,100,,
468613,"1,300.00",,
470090,210,"1,700.00","4,200.00"
470370,55,,
470498,65,400,"1,550.00"
470709,165,,
471712,89,525,"1,575.00"
471758,500,"2,500.00","6,000.00"
471845,145,,
471914,110,,
472052,180,"1,230.00",
472376,115,600,
472546,82,,
473592,70,,"1,950.00"
473777,155,"1,025.00","3,300.00"
474283,116,726,"2,234.00"
475216,100,,
476527,89,,"2,850.00"
476570,89,,"2,850.00"
476571,99,,"2,850.00"
476983,85,,"1,743.00"
478053,80,650,"1,650.00"
478385,135,"1,200.00",
478832,150,"1,000.00","3,000.00"
478949,380,"1,950.00",
479002,450,"2,000.00",
479263,145,900,"3,400.00"
479285,80,514,"1,200.00"
479867,225,"1,300.00","5,100.00"
480549,99,650,
481022,125,600,"2,200.00"
482365,80,750,"2,400.00"
482765,100,575,
483414,55,,880
483485,328,,
483505,142,,"3,948.00"
484297,350,"2,300.00","7,500.00"
484312,300,"2,000.00","8,000.00"
484728,115,700,"2,450.00"
485026,125,490,"1,800.00"
486350,225,,"1,900.00"
488083,92,550,
489018,185,"1,125.00","3,000.00"
489365,226,,"7,300.00"
489924,50,,
489965,80,700,
490011,200,"1,200.00","3,500.00"
490278,99,"1,200.00","3,500.00"
490989,68,784,
491123,102,,
491529,220,"1,600.00",
491942,199,"1,200.00","5,000.00"
491977,165,,
493177,150,,"3,000.00"
493611,385,"1,900.00","6,000.00"
494296,75,500,"1,500.00"
495249,85,,
496166,249,,
497370,80,720,
498052,120,"1,071.00","2,247.00"
498120,35,,
498859,169,"1,000.00","3,500.00"
500845,220,"1,500.00",
500886,85,,
501041,300,"1,800.00","3,200.00"
501082,79,,
501098,90,,
501693,99,,
502132,50,,
502309,46,,
502429,325,"2,100.00","8,190.00"
503460,68,,
503529,198,,
503585,100,600,"1,800.00"
503722,175,,
503790,130,850,
504322,180,"1,300.00","4,200.00"
504362,209,"1,800.00","5,700.00"
504394,150,"1,000.00",
504437,104,,
505029,175,"1,050.00","4,500.00"
505231,80,700,"3,000.00"
505315,68,,"1,250.00"
506121,72,450,"1,550.00"
506527,107,,"4,500.00"
506575,45,290,"1,200.00"
507393,49,403,"1,240.00"
509989,349,,
510218,185,"1,200.00","3,800.00"
510454,145,,
511436,145,530,"2,200.00"
511733,120,550,
511960,160,,
512209,800,,"19,500.00"
512210,349,,
512775,350,,"7,200.00"
513343,125,795,"2,600.00"
513688,350,"2,200.00",
514457,150,"1,000.00","3,300.00"
514548,180,,"3,100.00"
516452,95,,
516461,130,750,"2,300.00"
516643,150,"1,050.00",
516791,90,,
517626,95,,
517654,70,775,
518566,82,840,"2,500.00"
518576,250,"2,100.00","6,500.00"
518960,90,,
519310,75,,
521018,160,"1,500.00","5,000.00"
521038,115,770,"2,900.00"
521522,150,,
521672,89,594,"2,139.00"
521806,69,550,
522081,170,,
523123,375,"1,600.00",
525120,135,,
525293,250,"1,375.00","4,500.00"
525388,200,,
525412,150,"1,050.00",
525523,50,580,"1,500.00"
526520,60,450,"1,550.00"
526532,100,750,
526923,265,"1,600.00",
526942,90,550,"2,200.00"
527076,175,"1,225.00","4,650.00"
528485,36,320,"1,300.00"
530247,250,650,
530431,175,"1,450.00","4,500.00"
530576,93,600,"2,100.00"
