,Unnamed: 0,id,house_ln,house_la,subway,bus_stop,street,room_type,bedroom,guests,num_of_review,review_score,Entire_home,Private_room,Shared_room,crime_rate
119,119,28321,-73.96053,40.65593,2,5,Brooklyn,Private room,1,1,9,83.0,0,1,0,0.8737
120,120,28396,-73.96468,40.71923,0,0,Brooklyn,Private room,1,1,9,91.0,0,1,0,0.9601
121,121,28907,-73.94821999999998,40.778,0,12,New York,Entire home/apt,1,1,21,99.0,1,0,0,0.9315
122,122,29012,-73.93128,40.85879,2,12,New York,Private room,1,1,36,94.0,0,1,0,1.1587
123,123,29013,-73.9547,40.68332,3,12,Brooklyn,Private room,1,1,63,93.0,0,1,0,1.7837
124,124,29455,-73.94894000000002,40.81618,2,13,New York,Entire home/apt,1,2,151,92.0,1,0,0,1.0705
125,125,29628,-73.96351,40.68414,1,7,Brooklyn,Private room,1,1,253,99.0,0,1,0,1.8669
126,126,29683,-73.99143000000002,40.72392,7,12,New York,Entire home/apt,1,2,70,95.0,1,0,0,1.1773
127,127,30031,-73.9503,40.73494,0,0,Brooklyn,Private room,1,1,193,98.0,0,1,0,0.9601
128,128,30927,-73.98855999999998,40.71341,1,19,New York,Entire home/apt,1,2,31,89.0,1,0,0,1.2624
129,129,31130,-73.98399,40.76754,8,17,New York,Private room,1,1,49,97.0,0,1,0,4.3095
130,130,31555,-74.00303000000002,40.73442,11,7,New York,Entire home/apt,1,1,25,93.0,1,0,0,2.282
131,131,31902,-73.93248,40.63188,0,7,Brooklyn,Private room,3,2,2,100.0,0,1,0,0.5891
132,132,31994,-73.9634,40.6873,2,8,Brooklyn,Private room,1,1,418,89.0,0,1,0,1.8669
133,133,32023,-73.93661999999998,40.68296,2,11,Brooklyn,Entire home/apt,2,2,223,92.0,1,0,0,1.977
134,134,32037,-73.96765,40.6863,2,10,Brooklyn,Private room,1,2,81,97.0,0,1,0,1.8669
135,135,32100,-73.95348,40.73409,1,1,Brooklyn,Entire home/apt,3,1,3,100.0,1,0,0,0.9601
136,136,32289,-73.94835,40.71561,2,10,Brooklyn,Entire home/apt,1,2,10,100.0,1,0,0,0.9601
137,137,32331,-73.99183000000002,40.6857,2,2,Brooklyn,Entire home/apt,2,2,4,90.0,1,0,0,2.1164
138,138,32363,-73.83168,40.74028,0,0,Queens,Private room,1,1,1,80.0,0,1,0,0.6155
139,139,32965,-73.93524000000002,40.68281,0,12,Brooklyn,Entire home/apt,1,2,122,92.0,1,0,0,1.977
140,140,32969,-73.93938,40.71596,1,11,Brooklyn,Entire home/apt,1,2,8,100.0,1,0,0,0.9672
141,141,33009,-73.95935,40.71492,1,2,Brooklyn,Entire home/apt,1,2,237,99.0,1,0,0,0.9672
142,142,33014,-73.98295,40.72354,0,15,New York,Entire home/apt,2,1,29,88.0,1,0,0,1.1773
143,143,33223,-73.96087,40.71165,3,4,Brooklyn,Private room,1,1,196,94.0,0,1,0,0.9672
144,144,34760,-73.97312,40.69101,1,7,Brooklyn,Private room,1,1,25,100.0,0,1,0,1.8669
145,145,35526,-74.00101,40.73474,11,6,New York,Private room,1,2,75,99.0,0,1,0,2.282
146,146,36121,-73.96641,40.67386,2,8,Brooklyn,Private room,1,1,9,98.0,0,1,0,0.9147
147,147,36133,-73.96056999999998,40.71536,1,2,Brooklyn,Private room,1,1,152,93.0,0,1,0,0.9672
148,148,36442,-73.96595,40.6741,2,9,Brooklyn,Entire home/apt,2,4,4,70.0,1,0,0,0.9147
149,149,36647,-73.93997,40.79295,1,11,New York,Private room,1,1,34,95.0,0,1,0,1.0669
150,150,36703,-74.00401,40.73226,8,8,New York,Entire home/apt,1,2,134,98.0,1,0,0,2.282
151,151,36934,-73.96398,40.71363,0,2,Brooklyn,Entire home/apt,1,2,27,88.0,1,0,0,0.9672
152,152,38638,-73.9527,40.77711,3,16,New York,Entire home/apt,1,2,125,95.0,1,0,0,0.9315
153,153,38663,-73.98094,40.68559000000001,12,12,Brooklyn,Entire home/apt,5,4,23,93.0,1,0,0,2.1164
154,154,39267,-73.95323,40.77456,0,23,New York,Entire home/apt,1,1,232,83.0,1,0,0,0.9315
155,155,39282,-73.95055,40.71088,2,3,Brooklyn,Private room,1,1,200,95.0,0,1,0,0.9672
156,156,39593,-73.92313,40.74559,1,6,Long Island City,Private room,1,1,28,98.0,0,1,0,0.9628
157,157,39704,-73.94659,40.68306,2,12,Brooklyn,Entire home/apt,1,2,300,94.0,1,0,0,1.7837
158,158,40039,-73.98571,40.70207,1,6,Brooklyn,Private room,1,2,14,100.0,0,1,0,2.1164
159,159,41348,-73.99083,40.66858,3,4,Brooklyn,Entire home/apt,2,2,80,94.0,1,0,0,0.9893
160,160,41513,-73.94906999999998,40.82704,5,13,New York,Entire home/apt,1,2,2,80.0,1,0,0,0.9558
161,161,42580,-73.96408000000002,40.68843,1,8,Brooklyn,Private room,1,1,289,90.0,0,1,0,1.8669
162,162,42729,-74.00135,40.6783,0,3,Brooklyn,Entire home/apt,2,1,145,92.0,1,0,0,0.4812
163,163,42882,-74.08088000000002,40.64524,0,5,Staten Island,Private room,1,1,164,96.0,0,1,0,0.5752
164,164,43957,-73.91765,40.70641,1,2,Brooklyn,Private room,1,1,45,98.0,0,1,0,0.9855
165,165,44096,-73.93184000000002,40.83232,0,4,Bronx,Private room,1,1,207,97.0,0,1,0,1.3999
166,166,44161,-73.9677,40.71045,0,0,Brooklyn,Entire home/apt,2,2,193,95.0,1,0,0,0.9672
167,167,44212,-73.98034,40.72518,0,17,New York,Private room,1,2,82,95.0,0,1,0,1.1773
168,168,44221,-74.01374,40.70666,8,6,New York,Entire home/apt,1,1,112,97.0,1,0,0,1.7097
169,169,44229,-73.97113,40.69098,1,6,Brooklyn,Private room,1,1,208,94.0,0,1,0,1.8669
170,170,44288,-74.00405,40.73756,9,4,New York,Entire home/apt,1,1,84,95.0,1,0,0,2.282
171,171,44506,-73.94791,40.81526,2,10,New York,Entire home/apt,2,2,79,91.0,1,0,0,1.466
172,172,45393,-74.0046,40.73423,8,7,New York,Entire home/apt,1,1,38,97.0,1,0,0,2.282
173,173,45542,-73.9373,40.82374,1,18,New York,Entire home/apt,2,1,18,96.0,1,0,0,1.466
174,174,45556,-73.97691,40.68863,11,10,Brooklyn,Private room,1,1,200,97.0,0,1,0,1.8669
175,175,45910,-73.89797,40.70382,1,10,Queens,Entire home/apt,5,9,10,89.0,1,0,0,0.8344
176,176,45936,-73.95924000000002,40.80549,3,20,New York,Private room,1,1,122,93.0,0,1,0,1.0705
177,177,45940,-73.9587,40.71627,1,2,Brooklyn,Entire home/apt,1,1,33,98.0,1,0,0,0.9601
178,178,46544,-73.97863000000002,40.67994,9,3,Brooklyn,Entire home/apt,1,2,51,94.0,1,0,0,0.9893
179,179,46723,-73.9475,40.67992,2,12,Brooklyn,Private room,1,1,126,95.0,0,1,0,1.7837
180,180,46911,-73.97306999999998,40.67868,4,7,Brooklyn,Private room,1,1,50,95.0,0,1,0,0.9893
181,181,47199,-73.95334,40.76834,0,19,New York,Private room,1,1,194,96.0,0,1,0,0.9315
182,182,47362,-73.9415,40.68237,2,12,Brooklyn,Entire home/apt,1,2,30,89.0,1,0,0,1.7837
183,183,47370,-73.99999,40.74031,9,5,New York,Entire home/apt,1,1,3,90.0,1,0,0,1.8733
184,184,47926,-73.99665,40.76307,0,7,New York,Entire home/apt,1,1,37,84.0,1,0,0,4.3095
