id,house_ln,house_la,subway,bus_stop,park,scenery,borough,room_type,accommodates,bathroom,bedroom,beds,bed_type,guests,num_of_review,review_score,Entire_home,Private_room,Shared_room,crime_rate,host_response_time,response_time_num,host_response_rate,superhost,host_neighborhood,daily_price,weekly_price,monthly_price,Central_Park,Van_Cortlandt,Flushing_Meadows,Prospect_Park,Washington_Square_Park,Bronx_Park,Pelham_Bay_Park,Floyd_Bennet_Field,Jamaica_Bay,Jacob_Riis_Park,Fort_Tilden,Greenbelt,The_Metropolitan_Museum_of_Art,statue_of_liberty,Empire_state_Building,American_Museum_of_Natual_History,Museum_of_Modern_Art,Times_Square,One_world_trade_cente,Grand_Centreal_Terminal,intrepid_sea_air,Fifth_Avenue,Brooklyn_Bridge,Wall_Street,Flatiron_Building,New_York_University,Broadway,China_Town,New_york_Public_Library,West_Point_Academy,Columbia_University,Madison_Square_Garden,madame_tussauds_new_york,National_September_11_Memorial_Museum,Manhattan_Skyline,United_Nations_Headquarters,SOHO,St_Patrick_Cathedral,High_Line_Park,Top_of_the_Rock,sub_dist_1,sub_dist_2,sub_dist_3,bus_dist_1,bus_dist_2,bus_dist_3,Brooklyn,Manhattan,Queens,Staten,Bronx,ave_price,availability,Price_avg,True_price,Predict_price,errors
4582785,-73.95311,40.78555,1,9,1,17,Manhattan,Entire home/apt,5,2,2,4,Real Bed,5,18,90,1,0,0,0.9315,,0,0,0,Upper East Side,180,,,1.279,13.714,10.746,13.419,7.135,9.661,15.595,21.436,22.11,24.965,25.462,18.898,1.106,13.192,4.908,1.781,3.382,4.007,9.529,4.174,4.631,1.682,9.546,10.013,5.824,7.26,1.913,8.651,4.359,66.102,2.571,5.137,4.438,9.642,3.259,4.004,2.099,3.625,238.833,3.689,0.172,0.705,0.735,0.179,0.188,0.33,0,1,0,0,0,36,0,36.0,180,302.55518,122.55517578125
4688418,-73.95357,40.7734,0,20,1,19,Manhattan,Entire home/apt,5,1,2,3,Real Bed,4,6,97,1,0,0,0.9315,within an hour,3,1,0,Upper East Side,99,,4050,1.796,14.971,10.212,12.071,6,10.733,16.503,20.131,20.852,23.717,24.148,17.762,1.053,12.097,3.83,1.9,2.423,3.109,8.392,3.039,4.091,1.049,8.301,8.822,4.708,6.115,2.636,7.431,3.303,67.452,3.871,4.147,3.538,8.494,2.366,2.733,2.153,2.587,240.184,2.708,0.531,0.698,1.046,0.134,0.134,0.143,0,1,0,0,0,19.8,0,19.8,99,210.81082,111.81082153320312
23649611,-73.98004,40.74477,1,12,1,23,Manhattan,Entire home/apt,4,1.5,2,2,Real Bed,2,0,0,1,0,0,1.1501,,0,0,0,Kips Bay,133,,,4.591,18.781,11.746,8.853,2.128,14.618,20.312,17.824,18.924,21.816,21.702,13.875,4.09,8.227,0.639,4.105,1.869,1.628,4.509,0.918,2.832,3.458,4.498,4.946,0.912,2.234,5.147,3.585,0.952,70.648,7.133,1.118,1.496,4.608,2.066,1.264,4.009,1.549,243.408,1.599,0.225,0.403,0.733,0.123,0.189,0.216,0,1,0,0,0,33.25,0,33.25,133,280.26117,147.26116943359375
20634950,-73.96,40.72992,1,1,1,19,Brooklyn,Private room,2,1,1,1,Real Bed,1,11,100,0,1,0,0.9601,within an hour,3,1,1,Greenpoint,200,,,6.174,19.694,10.104,7.206,3.147,15.129,20.412,15.663,16.659,19.551,19.602,13.724,5.499,8.441,3.001,5.832,3.812,3.855,4.866,2.92,5.182,4.927,4.079,4.899,2.797,3.136,6.891,3.506,3.194,72.284,8.633,3.454,3.825,4.88,4.019,2.464,5.836,3.495,245.026,3.647,0.494,0.941,1.427,0.493,1.005,1.172,1,0,0,0,0,100,1,100.0,200,99.23052,-100.76947784423828
31351908,-73.99331,40.72833,7,3,1,19,Manhattan,Entire home/apt,5,1,2,3,Real Bed,3,1,0,1,0,0,1.1773,within an hour,3,0.9,0,Noho,495,,,6.654,20.912,12.914,7.26,0.438,16.754,22.399,16.685,18.007,20.881,20.432,11.74,6.206,6.127,2.373,6.128,3.915,3.468,2.395,3.035,4.104,5.575,2.453,2.806,1.453,0.352,7.13,1.497,2.914,72.508,9.18,2.381,3.137,2.48,4.089,3.34,5.985,3.622,245.263,3.615,0.229,0.269,0.292,0.396,0.456,0.485,0,1,0,0,0,99,1,99.0,495,321.92166,-173.07833862304688
34840495,-73.93134,40.66473,2,7,1,0,Brooklyn,Entire home/apt,12,2,5,7,Real Bed,10,0,0,1,0,0,0.8737,within an hour,3,1,0,Crown Heights,475,,,13.741,26.211,11.305,3.241,9.217,21.168,25.389,8.029,9.215,12.091,11.966,12.446,13.023,9.929,10.402,13.447,11.445,11.41,8.743,10.52,12.573,12.496,7.24,7.985,9.816,9.091,14.496,7.861,10.73,79.574,16.096,10.728,11.29,8.592,11.653,10.102,13.469,11.123,252.248,11.261,0.483,0.736,1.05,0.096,0.112,0.136,1,0,0,0,0,39.58333333,1,39.583333333333336,475,348.77588,-126.22412109375
196010,-73.98053,40.67595,1,2,1,5,Brooklyn,Entire home/apt,2,1,1,1,Real Bed,2,15,100,1,0,0,0.9893,,0,0,0,Park Slope,265,,,12.18,25.936,13.749,1.472,6.264,21.287,26.29,11.252,12.933,15.701,14.758,8.84,11.584,5.598,8.113,11.736,9.514,9.231,4.954,8.542,10.026,10.971,3.675,4.106,7.287,6.114,12.79,4.565,8.587,78.3,14.71,8.254,8.97,4.779,9.715,8.446,11.658,9.187,251.059,9.252,0.265,0.699,0.71,0.037,0.448,0.551,1,0,0,0,0,132.5,0,132.5,265,131.42928,-133.5707244873047
7024342,-73.90781,40.64574,0,2,0,0,Brooklyn,Entire home/apt,6,1,1,3,Real Bed,2,0,0,1,0,0,0.6629,,0,0,0,Canarsie,600,,,16.312,28.103,11.88,5.67,12.103,22.926,26.644,5.434,6.35,9.239,9.487,14.21,15.573,12.507,13.198,16.065,14.153,14.17,11.615,13.256,15.385,15.082,10.123,10.839,12.655,11.978,17.096,10.759,13.494,81.77,18.573,13.548,14.078,11.46,14.359,12.778,16.113,13.838,254.355,13.989,0.513,0.884,1.616,0.382,0.437,0.602,1,0,0,0,0,100,1,100.0,600,156.72249,-443.2775115966797
29543716,-73.99807,40.75651,1,6,1,20,Manhattan,Entire home/apt,5,1,2,3,Real Bed,2,9,91,1,0,0,1.8733,within a day,1,1,0,Hell's Kitchen,206,,,4.049,18.338,13.381,10.394,2.857,14.605,20.569,19.646,20.827,23.717,23.467,14.188,3.871,8.443,1.366,3.451,1.806,1.122,5.008,1.81,0.95,3.328,5.564,5.689,1.851,3.009,4.299,4.604,1.381,69.393,6.413,0.932,0.76,5.158,1.828,2.619,3.218,1.773,242.142,1.58,0.331,0.613,0.708,0.056,0.248,0.389,0,1,0,0,0,41.2,1,41.2,206,321.2588,115.2587890625
2279335,-73.9552,40.71947,1,1,1,15,Brooklyn,Entire home/apt,2,1,1,1,Real Bed,1,3,80,1,0,0,0.9601,,0,0,0,Williamsburg,250,1500,,7.379,20.683,9.901,6.121,3.768,15.998,21.093,14.432,15.444,18.337,18.373,13.246,6.689,8.248,4.14,7.053,5.041,5.057,4.944,4.136,6.338,6.131,3.826,4.761,3.775,3.711,8.109,3.534,4.387,73.448,9.812,4.551,4.996,4.913,5.248,3.693,7.063,4.722,246.182,4.869,0.279,0.663,0.731,0.458,0.603,0.707,1,0,0,0,0,125,0,125.0,250,147.08444,-102.91555786132812
